City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
676,Hit,IQ,69.57,1015,33.64,42.83,Aboody Alhachem
680,Mayo,US,66.99,1023,38.89,-76.51,Resorts Resource Group International
687,Kayes,ML,78.62,1011,14.0,-11.0,
689,San Julian,MX,61.2,1016,21.02,-102.17,La Nueva España
690,Dharchula,IN,68.72,1016,29.85,80.53,Mahara Hotel
691,Nicoya,CR,74.25,1012,10.15,-85.45,Guayacan Real
694,Myitkyina,MM,68.94,1013,25.38,97.4,Shwe Phyu Hotel
698,Mindif,CM,76.87,1010,10.4,14.44,
699,Santa Cruz,BO,78.8,1012,-17.8,-63.17,Hotel Cortez
700,Saint-Paul,RE,73.4,1018,-21.01,55.27,Boucan Canot
701,Yenagoa,NG,75.36,1011,4.92,6.26,Amba Hotels Limited
707,Pokhara,NP,74.44,1014,28.23,83.98,Hotel View Point
708,Bocas Del Toro,PA,66.99,1014,9.33,-82.25,Hotel Bocas del Toro
709,Nuqui,CO,78.51,1012,5.71,-77.27,Hotel Nuquimar
713,Japura,ID,78.66,1010,-0.32,102.35,Rumah mbah Jamah
