City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Coquimbo,CL,-29.95,-71.34,53.6,87,26,4.7,scattered clouds
83,Chuy,UY,-33.7,-53.46,61.38,98,48,3.85,scattered clouds
84,Skierniewice,PL,51.95,20.16,55.0,99,100,11.39,light rain
85,Kindu,CD,-2.95,25.95,67.19,92,98,0.78,overcast clouds
86,Georgetown,MY,5.41,100.34,84.2,83,20,4.7,few clouds
87,Calabozo,VE,8.92,-67.43,75.97,92,51,3.98,broken clouds
88,Bundaberg,AU,-24.85,152.35,82.0,57,40,20.8,light rain
89,Lebu,CL,-37.62,-73.65,50.09,85,100,5.41,overcast clouds
90,Gordeyevka,RU,52.96,31.97,46.35,97,93,5.37,overcast clouds
91,Iqaluit,CA,63.75,-68.51,26.6,86,75,4.7,light snow
92,Leningradskiy,RU,69.38,178.42,22.91,91,8,5.1,clear sky
93,Mataura,NZ,-46.19,168.86,71.01,50,57,14.0,broken clouds
94,Yulara,AU,-25.24,130.99,69.8,43,40,8.05,scattered clouds
95,Khatanga,RU,71.97,102.5,14.04,97,100,12.21,light snow
96,Zermatt,CH,46.02,7.75,39.0,100,90,19.46,fog
97,Saint-Philippe,RE,-21.36,55.77,75.2,73,40,8.05,scattered clouds
98,Vao,NC,-22.67,167.48,73.81,86,6,16.11,clear sky
99,Longyearbyen,SJ,78.22,15.64,21.2,73,75,4.7,broken clouds
100,Vaini,TO,-21.2,-175.2,77.0,78,75,11.41,broken clouds
101,Mapiri,BO,-15.25,-68.17,69.04,82,55,1.36,broken clouds
102,Tuktoyaktuk,CA,69.45,-133.04,24.8,100,90,3.36,mist
103,Esperance,AU,-33.87,121.9,62.6,67,90,8.05,overcast clouds
104,Thompson,CA,55.74,-97.86,21.2,79,75,5.82,broken clouds
105,Cedartown,US,34.05,-85.25,70.0,86,17,4.0,few clouds
106,Shenjiamen,CN,29.96,122.3,62.1,59,88,11.1,overcast clouds
107,Bac Lieu,VN,9.29,105.72,81.46,77,87,1.74,heavy intensity rain
108,Chokurdakh,RU,70.63,147.92,10.85,93,97,7.0,overcast clouds
109,Talnakh,RU,69.49,88.4,-2.2,84,40,6.71,light snow
110,Liverpool,GB,53.41,-2.98,46.99,87,100,13.87,overcast clouds
111,Maniitsoq,GL,65.42,-52.9,26.78,84,0,4.63,clear sky
112,Grindavik,IS,63.84,-22.43,41.0,80,75,11.41,broken clouds
113,Tiksi,RU,71.69,128.87,18.59,91,24,28.63,few clouds
114,Mount Isa,AU,-20.73,139.5,86.0,51,75,9.17,broken clouds
115,Komsomolskiy,UZ,40.43,71.72,39.2,52,100,4.7,overcast clouds
116,Salvador,SV,13.83,-88.92,78.8,94,20,1.12,mist
117,Magistralnyy,RU,56.17,107.45,36.72,93,100,2.37,overcast clouds
118,Severo-Kurilsk,RU,50.68,156.12,43.41,87,100,38.21,heavy intensity rain
119,Gat,IL,31.61,34.76,69.01,88,20,3.36,few clouds
120,Port Macquarie,AU,-31.43,152.92,73.0,88,90,12.75,overcast clouds
121,Hithadhoo,MV,-0.6,73.08,83.05,75,28,10.2,scattered clouds
122,Kichera,RU,55.94,110.1,39.63,68,87,1.77,overcast clouds
123,Bathsheba,BB,13.22,-59.52,84.2,74,20,25.28,few clouds
124,Lorengau,PG,-2.02,147.27,85.8,60,52,6.11,broken clouds
125,Frolovo,RU,49.77,43.66,55.99,69,100,5.99,light rain
126,Waingapu,ID,-9.66,120.26,88.72,55,5,8.55,light rain
127,Ostrovnoy,RU,68.05,39.51,29.34,97,100,6.26,overcast clouds
128,Hermanus,ZA,-34.42,19.23,64.0,92,71,3.91,broken clouds
129,Luangwa,ZM,-15.62,30.42,72.36,47,88,3.53,overcast clouds
130,Gweta,BW,-20.18,25.23,73.24,38,1,7.99,clear sky
131,Pacifica,US,37.61,-122.49,59.0,93,75,5.68,mist
132,Sena Madureira,BR,-9.07,-68.66,74.86,85,74,3.11,broken clouds
133,Saskylakh,RU,71.92,114.08,16.77,96,100,11.01,light snow
134,Pastavy,BY,55.12,26.83,44.28,92,77,7.27,broken clouds
135,Bambanglipuro,ID,-7.95,110.28,85.84,65,37,10.18,scattered clouds
136,Teguldet,RU,57.31,88.17,31.75,94,93,8.25,overcast clouds
137,Fort Nelson,CA,58.81,-122.7,19.4,57,5,3.36,clear sky
138,Ponta Do Sol,PT,32.67,-17.1,66.2,68,40,4.7,scattered clouds
139,Nanortalik,GL,60.14,-45.24,34.16,89,97,0.43,overcast clouds
140,Yining,CN,29.04,114.56,65.34,45,92,4.38,overcast clouds
141,Bhuj,IN,23.27,69.67,79.38,46,0,4.21,clear sky
142,Vila Velha,BR,-20.33,-40.29,69.8,94,75,4.7,broken clouds
143,East London,ZA,-33.02,27.91,68.5,84,46,11.34,scattered clouds
144,Yashan,CN,22.2,109.94,74.57,50,100,10.31,overcast clouds
145,Mangrol,IN,21.12,70.12,82.17,47,0,5.1,clear sky
146,Aksarka,RU,66.56,67.8,17.6,95,91,8.1,overcast clouds
147,Cabo San Lucas,MX,22.89,-109.91,82.0,69,5,8.05,clear sky
148,Plettenberg Bay,ZA,-34.05,23.37,64.8,85,52,6.04,broken clouds
149,Henties Bay,NA,-22.12,14.28,60.01,88,6,7.18,clear sky
150,Teknaf,BD,20.86,92.31,82.45,85,100,8.81,heavy intensity rain
151,Haines Junction,CA,60.75,-137.51,21.83,82,100,2.04,overcast clouds
152,Pacific Grove,US,36.62,-121.92,62.6,77,1,3.36,clear sky
153,Bukachacha,RU,52.98,116.92,39.7,68,0,1.48,clear sky
154,Kaeo,NZ,-35.1,173.78,68.14,67,21,6.55,few clouds
155,Tuscaloosa,US,33.21,-87.57,71.6,88,1,3.69,clear sky
156,Ostersund,SE,63.18,14.64,28.4,100,90,5.82,overcast clouds
157,Luderitz,NA,-26.65,15.16,58.73,80,1,8.55,clear sky
158,Kenai,US,60.55,-151.26,39.99,64,90,12.75,overcast clouds
159,New Norfolk,AU,-42.78,147.06,55.4,66,75,12.75,broken clouds
160,Kozhva,RU,65.11,57.05,22.05,91,96,9.46,overcast clouds
161,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,40,17.22,scattered clouds
162,Port Moresby,PG,-9.44,147.18,80.6,83,40,17.22,heavy intensity rain
163,Solginskiy,RU,61.05,41.34,44.19,94,100,8.93,overcast clouds
164,Malkara,TR,40.89,26.9,59.43,73,0,0.54,clear sky
165,Athabasca,CA,54.72,-113.29,16.52,84,76,4.14,broken clouds
166,Sabha,LY,27.04,14.43,60.26,42,0,7.92,clear sky
167,Khingansk,RU,49.12,131.18,32.67,85,98,16.96,overcast clouds
168,Russell,US,32.35,-85.2,73.4,93,1,3.83,mist
169,Cap Malheureux,MU,-19.98,57.61,72.0,71,55,1.99,broken clouds
170,Hambantota,LK,6.12,81.12,82.4,83,20,9.17,few clouds
171,Kutum,SD,14.2,24.67,70.14,23,1,13.29,clear sky
172,Imeni Babushkina,RU,59.76,43.13,44.55,96,99,7.43,overcast clouds
173,Kruisfontein,ZA,-34.0,24.73,66.99,87,42,7.2,scattered clouds
174,Talavera De La Reina,ES,39.96,-4.83,46.99,93,0,1.99,clear sky
175,Lagoa,PT,39.05,-27.98,66.65,82,44,24.18,scattered clouds
176,Belaya Gora,RU,68.53,146.42,12.36,90,15,1.3,few clouds
177,Petatlan,MX,17.52,-101.27,78.3,85,98,2.28,overcast clouds
178,Ozerne,UA,50.18,28.73,52.77,85,100,4.14,overcast clouds
179,Bambous Virieux,MU,-20.34,57.76,73.4,69,40,10.29,scattered clouds
180,Bulaevo,KZ,54.91,70.44,23.09,90,0,8.72,clear sky
181,Dzhebariki-Khaya,RU,62.22,135.8,21.06,90,20,1.34,few clouds
182,Evensk,RU,61.95,159.23,34.03,88,49,2.57,scattered clouds
183,Punta De Piedra,VE,7.62,-71.49,74.59,87,90,2.28,overcast clouds
184,Khazar,RU,42.0,48.33,57.36,67,0,8.23,clear sky
185,Aars,DK,56.8,9.51,51.01,95,3,8.1,clear sky
186,Nouadhibou,MR,20.93,-17.03,75.15,65,93,17.43,overcast clouds
187,Tasiilaq,GL,65.61,-37.64,32.0,91,100,2.24,overcast clouds
188,Sao Filipe,CV,14.9,-24.5,80.13,78,85,9.55,overcast clouds
189,Vagur,FO,61.47,-6.81,48.43,75,100,22.75,overcast clouds
190,Bay Roberts,CA,47.6,-53.26,39.0,94,0,5.01,clear sky
191,Kristianstad,SE,56.03,14.15,50.0,93,86,10.54,light intensity drizzle
192,Faya,SA,18.39,42.45,55.4,28,0,4.9,clear sky
193,Garowe,SO,8.41,48.48,76.59,69,100,5.68,overcast clouds
194,Muzhi,RU,65.37,64.67,15.6,94,41,4.94,scattered clouds
195,Avarua,CK,-21.21,-159.78,75.2,83,63,11.41,light rain
196,Berlevag,NO,70.86,29.09,36.88,93,100,29.12,light rain
197,Geraldton,AU,-28.77,114.6,87.8,18,0,10.29,clear sky
198,Orlik,RU,52.52,99.83,33.84,75,100,1.25,overcast clouds
199,Hervey Bay,AU,-25.3,152.85,82.0,57,40,20.8,light rain
200,Qinhuangdao,CN,39.93,119.59,60.93,30,0,4.65,clear sky
201,Jasper,US,37.2,-94.35,43.0,70,90,13.87,overcast clouds
202,Hokitika,NZ,-42.72,170.97,60.46,57,0,4.47,clear sky
203,Porto Walter,BR,-8.27,-72.74,73.0,94,86,3.76,light rain
204,San-Pedro,CI,4.75,-6.64,75.49,93,100,3.0,light rain
205,Imbituba,BR,-28.24,-48.67,71.6,88,20,6.93,few clouds
206,Yinchuan,CN,38.47,106.27,57.33,37,82,4.7,broken clouds
207,Srednekolymsk,RU,67.45,153.68,22.69,92,0,3.0,clear sky
208,Okhotsk,RU,59.38,143.3,41.67,91,100,17.81,light rain
209,Klaksvik,FO,62.23,-6.59,44.6,93,100,14.99,overcast clouds
210,Balkhash,KZ,46.84,74.98,33.69,78,0,8.72,clear sky
211,Northam,GB,51.03,-4.22,53.01,90,100,11.99,overcast clouds
212,Vardo,NO,70.37,31.11,37.09,96,100,28.25,overcast clouds
213,Belmonte,BR,-15.86,-38.88,71.6,94,90,2.24,overcast clouds
214,Macamic,CA,48.75,-79.0,32.0,99,90,9.17,overcast clouds
215,Omsukchan,RU,62.53,155.8,33.67,88,0,3.44,clear sky
216,Zelenets,RU,61.88,50.75,26.6,92,90,8.95,snow
217,Abonnema,NG,4.71,6.79,77.0,94,40,3.09,scattered clouds
218,Ferme-Neuve,CA,46.7,-75.45,62.28,88,95,14.92,light rain
219,Mahebourg,MU,-20.41,57.7,73.4,69,40,10.29,scattered clouds
220,Dikson,RU,73.51,80.55,23.16,91,100,10.67,overcast clouds
221,Flagstaff,US,35.2,-111.65,57.2,47,1,8.05,clear sky
222,Greymouth,NZ,-42.47,171.2,62.22,49,0,3.71,clear sky
223,Atambua,ID,-9.11,124.89,90.09,48,36,3.67,scattered clouds
224,Sorland,NO,67.67,12.69,43.48,70,42,16.02,scattered clouds
225,Acapulco,MX,16.86,-99.89,84.2,79,40,8.05,scattered clouds
226,Tiznit,MA,29.58,-9.5,62.06,64,100,1.28,overcast clouds
227,Sur,OM,22.57,59.53,79.43,58,0,14.32,clear sky
228,Beyneu,KZ,45.32,55.2,41.79,67,72,11.16,broken clouds
229,Dryden,CA,49.78,-92.75,26.6,86,90,6.93,overcast clouds
230,Vung Tau,VN,10.35,107.08,81.18,79,90,5.7,overcast clouds
231,Tocopilla,CL,-22.09,-70.2,61.74,65,15,5.32,few clouds
232,Puerto Escondido,MX,15.85,-97.07,82.4,69,75,4.7,broken clouds
233,Udaipura,IN,23.08,78.5,77.49,53,0,4.05,clear sky
234,Waipawa,NZ,-41.41,175.52,66.0,72,0,20.8,clear sky
235,Mahibadhoo,MV,3.78,72.97,81.59,80,82,10.49,broken clouds
236,Marau,BR,-28.45,-52.2,65.32,82,100,4.63,overcast clouds
237,Dongli,CN,23.57,116.82,71.6,46,0,4.47,clear sky
238,Beloha,MG,-25.17,45.05,69.78,76,100,10.25,overcast clouds
239,Bethel,US,41.37,-73.41,60.01,97,97,4.88,overcast clouds
240,Charters Towers,AU,-20.1,146.27,84.97,46,79,16.87,broken clouds
241,Amberley,US,39.2,-84.43,62.01,87,90,19.46,overcast clouds
242,Parfenyevo,RU,58.48,43.41,45.77,93,99,8.79,overcast clouds
243,Torbay,CA,47.67,-52.73,39.0,86,75,2.24,broken clouds
244,Saint Anthony,US,45.02,-93.22,33.8,97,90,12.75,overcast clouds
245,Narasannapeta,IN,18.42,84.05,81.05,70,47,4.63,scattered clouds
246,Saldanha,ZA,-33.01,17.94,59.0,87,19,4.7,few clouds
247,Cockburn Town,TC,21.46,-71.14,82.96,79,100,16.24,overcast clouds
248,Sirawai,PH,7.59,122.14,84.54,69,96,4.68,moderate rain
249,Totskoye,RU,52.52,52.76,46.31,94,100,12.41,light rain
250,Codrington,AU,-38.27,141.97,53.6,65,55,17.45,broken clouds
251,Segovia,ES,41.17,-4.0,43.0,88,2,5.64,clear sky
252,Ariquemes,BR,-9.91,-63.04,73.72,81,100,1.05,light rain
253,Port Elizabeth,ZA,-33.92,25.57,68.0,94,90,17.22,mist
254,La Ronge,CA,55.1,-105.28,23.0,67,90,9.17,light shower snow
255,Naze,JP,28.37,129.48,73.4,53,75,11.41,broken clouds
256,Latung,PH,5.5,120.88,83.12,70,97,5.59,light rain
257,Kavieng,PG,-2.57,150.8,84.81,62,61,3.38,broken clouds
258,Bonavista,CA,48.65,-53.11,37.99,89,6,1.99,clear sky
259,Jalu,LY,29.03,21.55,61.97,87,0,9.46,clear sky
260,Taguatinga,BR,-12.39,-46.57,76.53,70,85,4.68,light rain
261,Richards Bay,ZA,-28.78,32.04,66.69,88,71,10.56,broken clouds
262,Quatre Cocos,MU,-20.21,57.76,73.4,69,40,10.29,scattered clouds
263,Poronaysk,RU,49.22,143.12,47.55,67,100,19.6,overcast clouds
264,Zarcero,CR,10.19,-84.39,69.8,100,75,3.36,moderate rain
265,Hasaki,JP,35.73,140.83,68.0,68,75,4.7,broken clouds
266,Turukhansk,RU,65.82,87.98,8.64,95,98,10.8,overcast clouds
267,Ancud,CL,-41.87,-73.82,51.01,93,90,8.05,overcast clouds
268,Gabu,GW,12.28,-14.22,74.28,87,32,4.09,scattered clouds
269,Vestmanna,FO,62.16,-7.17,44.6,93,100,14.99,overcast clouds
270,Hualmay,PE,-11.1,-77.61,61.92,84,91,2.89,overcast clouds
271,Nortelandia,BR,-14.45,-56.8,74.71,86,100,5.06,moderate rain
272,Urdoma,RU,61.75,48.54,33.39,95,100,7.45,snow
273,Khani,GE,41.96,42.96,48.2,81,0,1.12,clear sky
274,Sorkjosen,NO,69.8,20.93,37.72,82,100,17.52,light rain
275,Mercedes,AR,-34.65,-59.43,66.0,95,52,1.99,broken clouds
276,Saint-Augustin,CA,51.23,-58.65,34.79,82,82,2.15,broken clouds
277,Kraljevo,RS,43.73,20.69,42.8,100,90,1.12,fog
278,Wellington,NZ,-41.29,174.78,66.0,72,27,20.8,scattered clouds
279,Aksha,RU,50.28,113.29,41.79,61,0,2.66,clear sky
280,Cherskiy,RU,68.75,161.3,20.25,94,5,5.39,clear sky
281,Fairbanks,US,64.84,-147.72,27.0,92,1,3.36,clear sky
282,Liwale,TZ,-9.77,37.93,68.94,92,16,2.98,few clouds
283,Ilulissat,GL,69.22,-51.1,21.2,57,95,8.05,overcast clouds
284,Mogadishu,SO,2.04,45.34,80.01,84,63,17.09,broken clouds
285,Kuhdasht,IR,33.53,47.61,47.12,54,25,3.6,scattered clouds
286,Clyde River,CA,70.47,-68.59,21.2,85,90,8.05,overcast clouds
287,Qaqortoq,GL,60.72,-46.03,28.4,68,95,3.36,overcast clouds
288,Juneau,US,58.3,-134.42,35.6,34,75,4.7,broken clouds
289,Cayenne,GF,4.93,-52.33,77.0,100,0,8.39,clear sky
290,Aklavik,CA,68.22,-135.01,23.0,92,5,4.7,clear sky
291,Kagoro,NG,9.6,8.38,67.14,85,100,1.9,overcast clouds
292,Sibu,MY,2.3,111.82,84.2,74,20,4.7,few clouds
293,Quthing,LS,-30.4,27.7,64.29,57,99,4.79,overcast clouds
294,Sabang,ID,5.89,95.32,83.05,73,96,10.2,light rain
295,Limbang,MY,4.75,115.0,82.4,78,75,5.82,broken clouds
296,Seoul,KR,37.57,126.98,51.8,27,1,4.7,clear sky
297,Isangel,VU,-19.55,169.27,82.4,74,90,5.82,overcast clouds
298,Mitchell,US,43.71,-98.03,21.2,79,1,4.7,clear sky
